Buy Threshold,Sell Threshold,Total Returns,Average Returns,Win Rate (%),Total Trades,Performance vs Buy and Hold (%)
12,84,33.27,2.56,66.67,9,-75.77
12,85,33.27,2.56,66.67,9,-75.77
12,86,33.27,2.56,66.67,9,-75.77
12,87,38.8,2.98,66.67,9,-74.77
12,88,38.8,2.98,66.67,9,-74.77
12,89,37.1,2.85,66.67,9,-75.08
12,90,37.79,2.91,66.67,9,-74.95
12,91,124.96,9.61,71.43,7,-59.11
12,92,161.41,12.42,71.43,7,-52.48
12,93,164.19,12.63,71.43,7,-51.97
12,94,195.2,15.02,71.43,7,-46.34
12,95,585.88,45.07,80.0,5,24.69
13,65,-73.25,-5.63,48.15,27,-95.14
13,66,-70.33,-5.41,48.15,27,-94.61
13,67,-68.28,-5.25,48.15,27,-94.23
13,68,-67.11,-5.16,48.15,27,-94.02
13,69,-69.24,-5.33,40.91,22,-94.41
13,70,-67.75,-5.21,45.45,22,-94.14
13,71,-66.12,-5.09,45.45,22,-93.84
13,72,-66.53,-5.12,45.45,22,-93.92
13,73,-61.08,-4.7,50.0,22,-92.92
13,74,-67.54,-5.2,40.0,20,-94.1
13,75,-55.7,-4.28,50.0,20,-91.95
13,76,-52.53,-4.04,50.0,20,-91.37
13,77,-53.6,-4.12,45.0,20,-91.56
13,78,-62.8,-4.83,38.89,18,-93.24
13,79,-49.78,-3.83,42.86,14,-90.87
13,80,-42.23,-3.25,50.0,14,-89.5
13,81,-37.01,-2.85,58.33,12,-88.55
13,82,-30.43,-2.34,58.33,12,-87.35
13,83,-2.26,-0.17,58.33,12,-82.23
13,84,59.96,4.61,63.64,11,-70.92
13,85,59.96,4.61,63.64,11,-70.92
13,86,59.96,4.61,63.64,11,-70.92
13,87,66.04,5.08,63.64,11,-69.82
13,88,66.04,5.08,63.64,11,-69.82
13,89,64.2,4.94,63.64,11,-70.15
13,90,65.26,5.02,63.64,11,-69.96
13,91,168.02,12.92,66.67,9,-51.28
13,92,209.45,16.11,66.67,9,-43.74
13,93,212.48,16.34,66.67,9,-43.19
13,94,243.7,18.75,66.67,9,-37.52
13,95,509.17,39.17,80.0,5,10.74
14,65,-69.56,-5.35,44.83,29,-94.47
14,66,-66.25,-5.1,48.28,29,-93.86
14,67,-64.23,-4.94,48.28,29,-93.5
14,68,-62.86,-4.84,48.28,29,-93.25
